stevenford,203.55.169.97,Mozilla/4.0 (Compatible; MSIE 8.0; Windows NT 5.2; Trident/6.0)
dmoore,192.211.14.22,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0) chromeframe/10.0.648.205
vjones,203.39.1.43,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; FunWebProducts)
millerautumn,198.51.101.227,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/4.0; InfoPath.2; SV1; .NET CLR 2.0.50727; WOW64)
djones,192.31.197.70,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0; .NET CLR 2.0.50727; SLCC2; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Zune 4.0; Tablet PC 2.0; InfoPath.3; .NET4.0C; .NET4.0E)
samuel21,169.243.122.225,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/4.0; GTB7.4; InfoPath.3; SV1; .NET CLR 3.1.76908; WOW64; en-US)
zimmermananthony,192.31.215.143,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Zune 4.0; InfoPath.3; MS-RTC LM 8; .NET4.0C; .NET4.0E)
jimenezkevin,198.51.101.22,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0) chromeframe/10.0.648.205
tuckerrobert,192.136.39.223,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727)
mollywyatt,192.0.1.168,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; InfoPath.2; SLCC1; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET CLR 2.0.50727)
comptonsherri,40.247.226.110,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 7.1; Trident/5.0)
lee66,205.122.149.133,Mozilla/5.0 (Windows; U; MSIE 9.0; Windows NT 9.0; en-US)
lovebrittany,100.61.202.71,Mozilla/5.0 (compatible; MSIE 10.0; Macintosh; Intel Mac OS X 10_7_3; Trident/6.0)
kimberly93,192.31.192.234,Mozilla/4.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/5.0)
davidflynn,192.0.118.63,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.0; Media Center PC 4.0; SLCC1; .NET CLR 3.0.04320)
silvakimberly,126.15.235.133,Mozilla/4.0 (Compatible; MSIE 8.0; Windows NT 5.2; Trident/6.0)
